id,user_id,cwa_id,discipline_id,projectId,phaseId,cwpUnit,ewpRefId,ewpRefNo,cwa,cwpSubArea,cwpLevel,cwpType,cwpIcsu,cwpTitle,cwpDescription,cwpNo,cwpRevision,cwpDocumentContNo,cwpPlannedRelease,cwpPlannedComplete,cwpPlannedHours,cwpForecastRelease,cwpForecastComplete,cwpForecastHours,cwpActualRelease,cwpActualComplete,cwpActualHours,cwpLink,cwpWorkOwners,cwpWorkReleaseDate,cwpWorkConstruction,cwpWorkConstructionDate,cwpCompleteOwners,cwpCompleteReleaseDate,cwpCompleteConstruction,cwpCompleteConstructionDate,in_schedule,status,current_status,addDate,cwpPlannedReleaseExe,cwpPlannedCompleteExe,cwpPlannedHoursExe,cwpActualReleaseExe,cwpActualCompleteExe,cwpActualHoursExe,cwpForecastReleaseExe,cwpForecastCompleteExe,cwpForecastHoursExe,cwpCompilerPath,manualOrSystemStart,manualOrSystemComplete,my_selection,my_packages,import,wbsShortCode,contractorId,delayDuration,cwpSupervisor,auditUserid,auditDate,releaseConsSupApprovalStatus,releaseConsSup,releaseConsSupDate,releaseConsSupRemarks,compiledById,checkedById,approvedById,cwpReleaseStatus,releaseLead,releaseLeadDate,releaseLeadRemarks,releaseEngMgr,releaseEngMgrDate,releaseEngMgrRemarks,cwpManager,cwpLead,releaseConstMgr,releaseConstMgrDate,releaseConstMgrRemarks,releaseConstMgrApprovalStatus,releaseHold,cwpReleaseHold,cwpReleaseRisks,cwpReleaseMitigationPlan,contractorDcn,revisionDescription,blockchainWorkBlockId,blockchain_status,linked_area,reject_remark,pc_ForecastComplete_Quaterly,pc_ForecastStart_Quaterly_Exe,pc_ForecastFinish_Quaterly_Exe,releaseBlockchainStatus
"3310","359",\N,"386","54","1","178","3643","EWP-A08-WP7.2-100-BM-ME-102","SS42 Sub Station","100","AG","BM","500","Electrical Works FOR SUBSTATION SS42","Electrical Works FOR SUBSTATION SS42","CWP-A08-WP7.2-100-BM-ME-102","3","T-14.170.280","2023-06-29","2023-07-27","0","2023-04-14","2023-09-25","0","2023-07-25","2023-09-25","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1695626171","2023-06-29","2024-09-28","0","2023-08-03",\N,"0","2023-08-10","2024-10-19","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3310.pdf","1","1","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2023-09-25 07:16:11","","9228","6513","8538","4","359","2023-09-25 07:04:34","",\N,\N,\N,"298",\N,\N,\N,\N,\N,"1","","","","L783-ZX-E-70280","Issue for information",\N,\N,"0437",\N,"2023-09-25","2023-08-10","2024-10-19",\N
"3311","1",\N,"398","54","1","178","3645","EWP-A08-WP7.2-100-BM-MT-101","A08-WP7.2-100","100","AG","BM","TBD","Telecom Works","Telecom Works","CWP-A08-WP7.2-100-BM-MT-101","1",\N,"2023-12-16","2024-01-08","0","2024-06-29","2024-07-26","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"2",\N,"1646059819","2024-06-24","2024-11-18",\N,"0000-00-00","0000-00-00",\N,"2024-06-13","2025-03-18",\N,\N,"0","0","0","0","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0439",\N,"2024-07-26","2024-06-13","2025-03-18",\N
"3312","232",\N,"386","54","1","178","3648","EWP-A08-WP7.2-300-BM-ME-101","FAR20","300","AG","BM","500","Electrical Works for FAR 20","Electrical Works for FAR 20","CWP-A08-WP7.2-300-BM-ME-101","2","T-14.170.475","2023-05-06","2023-07-15","0","2023-04-14","2023-08-31","0","2023-07-18","2023-07-22","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1690044223","2023-12-20","2024-09-23","0","0000-00-00","0000-00-00","0","2023-10-18","2024-12-23","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3312.pdf","0","0","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2023-07-22 04:43:43","","4488","6513","8538","4","232","2023-07-22 03:12:52","EWP FOR FAR 20 - ELECTRICAL ROOMS",\N,\N,\N,"298",\N,\N,\N,\N,\N,"1","","","","L781-ZX-E-70475","Issue for information",\N,\N,"0451",\N,"2023-08-31","2023-10-18","2024-12-23",\N
"3313","1",\N,"398","54","1","178","3650","EWP-A08-WP7.2-300-BM-MT-101","A08-WP7.2-300","300","AG","BM","TBD","Telecom Works for FAR 20","Telecom Works for FAR 20","CWP-A08-WP7.2-300-BM-MT-101","1",\N,"2023-12-16","2024-02-09","0","2024-06-29","2024-09-02","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"2",\N,"1646059819","2024-07-18","2024-11-29",\N,"0000-00-00","0000-00-00",\N,"2024-11-19","2025-03-10",\N,\N,"0","0","0","0","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0453",\N,"2024-09-02","2024-11-19","2025-03-10",\N
"3314","359",\N,"388","54","1","178","3644","EWP-A08-WP7.2-100-BM-MS-101","SS42 Sub Station","100","AG","BM","500","Instrument Works","Instrument Works","CWP-A08-WP7.2-100-BM-MS-101","1","T-14.170.281","2023-08-01","2023-09-02","0","2024-01-30","2024-02-12","0","2024-01-13","2024-01-15","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1705305757","2023-12-15","2024-06-13","0","2024-03-04",\N,"0","2024-01-13","2025-04-01","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3314.pdf","1","1","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2024-01-15 08:02:37","","9229","6514","8539","4","359","2024-01-13 04:02:31","",\N,\N,\N,"298",\N,\N,\N,\N,\N,"1","","","","L783-ZX-E-70281","ISSUE FOR INFORMATION",\N,\N,"0438",\N,"2024-02-12","2024-01-13","2025-04-01",\N
"3315","359",\N,"388","54","1","178","3649","EWP-A08-WP7.2-300-BM-MS-101","FAR20","300","AG","BM","500","Instrument Works for FAR 20","Instrument Works for FAR 20","CWP-A08-WP7.2-300-BM-MS-101","1","T-14.170.476","2023-06-08","2023-07-11","0","2024-01-09","2024-07-01","0","2024-01-13","2024-01-15","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1705306257","2023-11-20","2024-12-25","0","2024-04-01",\N,"0","2024-01-16","2025-12-23","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3315.pdf","1","1","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2024-01-15 08:10:57","","9229","6514","8539","4","359","2024-01-13 04:18:48","",\N,\N,\N,"298",\N,\N,\N,\N,\N,"1","","","","L781-ZX-E-70476","ISSUE FOR INFORMATION",\N,\N,"0452",\N,"2024-07-01","2024-01-16","2025-12-23",\N
"3316","232",\N,"386","54","2","180","3656","EWP-A08-WP7.2-200-BM-ME-102","SS43 Sub Station Area","200","AG","BM","500","Electrical Works","Electrical Works","CWP-A08-WP7.2-200-BM-ME-102","1","T-14.170.293","2023-06-29","2023-09-04","0","2023-07-21","2024-03-26","0","2023-07-24","2023-08-23","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1692802174","2023-09-07","2024-12-28","0","2023-11-15",\N,"0","2023-11-10","2025-01-16","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3316.pdf","1","1","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2023-08-23 02:49:34","","4518","6543","8568","4","232","2023-07-25 08:02:11","Electrical Works for SS43",\N,\N,\N,"298",\N,"298","2023-08-07 09:18:05","","2","2","T-14.140.554 Tray arrangement hold","-","-","L083-ZX-E-70293","Issue for information",\N,\N,"0444",\N,"2024-03-26","2023-11-10","2025-01-16",\N
"3317","1",\N,"388","54","2","180","3657","EWP-A08-WP7.2-200-BM-MS-101","A08-WP7.2-200","200","AG","BM","TBD","Instrument Works","Instrument Works","CWP-A08-WP7.2-200-BM-MS-101","1",\N,"2024-03-20","2024-05-17","0","2024-07-25","2024-10-01","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"2",\N,"1646060151","2024-11-02","2025-01-25",\N,"0000-00-00","0000-00-00",\N,"2025-01-03","2025-07-03",\N,\N,"0","0","0","0","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0445",\N,"2024-10-01","2025-01-03","2025-07-03",\N
"3318","409",\N,"398","54","2","180","3658","EWP-A08-WP7.2-200-BM-MT-101","SS43 Sub Station Area","200","AG","BM","500","Telecom Works","Telecom Works","CWP-A08-WP7.2-200-BM-MT-101","1","T-14.170.295","2023-12-16","2024-02-06","0","2024-02-15","2024-02-29","0","2024-02-28","2024-02-29","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1709197251","2024-09-24","2025-01-30","0","0000-00-00","0000-00-00","0","2024-11-01","2025-02-27","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3318.pdf","0","0","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2024-02-29 09:00:52","","9238","6549","8574","4","409","2024-02-28 01:17:09","",\N,\N,\N,"411",\N,\N,\N,\N,\N,"1","","","","L083-ZX-E-70295","ISSUE FOR INFORMATION",\N,\N,"0446",\N,"2024-02-29","2024-11-01","2025-02-27",\N
"3319","232",\N,"386","54","3","182","3635","EWP-A08-WP7.2-410-BM-ME-101","Blast resistant FAR 21 buildingÂ Â - CLU/CSU","410","AG","BM","500","Electrical Works for FAR 21","Electrical Works for FAR 21","CWP-A08-WP7.2-410-BM-ME-101","1","T-14.170.634","2023-07-20","2023-09-26","0","2023-07-21","2023-08-30","0","2023-07-24","2023-07-25","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1690274881","2024-03-16","2024-10-10","0","0000-00-00","0000-00-00","0","2024-04-13","2025-02-25","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3319.pdf","0","0","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2023-07-25 08:48:01","","4548","6573","8598","4","232","2023-07-25 08:02:56","Electrical Works for FAR 21",\N,\N,\N,"298",\N,\N,\N,\N,\N,"1","","","","L081-ZX-E-70634","Issue for information",\N,\N,"0458",\N,"2023-08-30","2024-04-13","2025-02-25",\N
"3320","1",\N,"388","54","3","182","3636","EWP-A08-WP7.2-410-BM-MS-101","A08-WP7.2-410","410","AG","BM","TBD","Instrument Works for FAR 21","Instrument Works for FAR 21","CWP-A08-WP7.2-410-BM-MS-101","1",\N,"2024-02-01","2024-02-28","0","2024-08-30","2024-10-07","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"2",\N,"1646060362","2024-03-30","2024-11-13",\N,"0000-00-00","0000-00-00",\N,"2024-04-06","2025-04-19",\N,\N,"0","0","0","0","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"0459",\N,"2024-10-07","2024-04-06","2025-04-19",\N
"3321","409",\N,"398","54","3","182","0","EWP-A08-WP7.2-410-BM-MT-101","Blast resistant FAR 21 buildingÂ Â - CLU/CSU","410","AG","BM","500","Telecom Works for FAR 21","Telecom Works for FAR 21","CWP-A08-WP7.2-410-BM-MT-101","1","T-14.170.636","2023-12-16","2024-01-23","0","2024-02-19","2024-02-29","0","2024-02-28","2024-02-29","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1709196984","2024-06-29","2024-10-21","0","0000-00-00","0000-00-00","0","2024-11-20","2025-02-18","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3321.pdf","0","0","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2024-02-29 08:56:24","","9254","6579","8604","4","409","2024-02-28 01:44:53","",\N,\N,\N,"411",\N,\N,\N,\N,\N,"1","","","","L081-ZX-E-70636","ISSUE FOR INFORMATION",\N,\N,"0460",\N,"2024-02-29","2024-11-20","2025-02-18",\N
"3322","359",\N,"386","54","3","182","3660","EWP-A08-WP7.2-420-BM-ME-101","Common Buildings (SS45)","420","AG","BM","500","Electrical Works (SS 45)","Electrical Works (SS 45)","CWP-A08-WP7.2-420-BM-ME-101","1","T-14.170.643","2023-11-01","2023-12-26","0","2024-03-18","2024-03-25","0","0000-00-00","2024-01-18","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1705565526","2024-01-11","2024-12-19","0","2023-11-20",\N,"0","2023-12-16","2025-05-02","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3322.pdf","1","1","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2024-01-18 08:12:07","","9252","6573","8598","4","359","2024-01-15 10:31:24","",\N,\N,\N,"298",\N,\N,\N,\N,\N,"1","","","","L083-ZX-E-70643","ISSUE FOR INFORMATION",\N,\N,"1112",\N,"2024-03-25","2023-12-16","2025-05-02",\N
"3323","427",\N,"388","54","3","182","3661","EWP-A08-WP7.2-420-BM-MS-101","Common Buildings (SS45)","420","AG","BM","500","Instrumentation Works (SS 45)","Instrumentation Works (SS 45)","CWP-A08-WP7.2-420-BM-MS-101","1","T-14.170.807","2024-02-01","2024-03-27","0","2024-01-23","2024-10-05","0","2024-06-01","2024-06-04","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"13",\N,"1717511293","2024-10-22","2025-01-16","0","0000-00-00","0000-00-00","0","2025-01-03","2025-06-24","0","file/user/workmanagement/cwp/checklst_attachment_compiled_cwp_3323.pdf","0","0","0","1","1",\N,\N,\N,"271",\N,\N,"2","271","2024-06-04 02:28:13","","9253","6574","8599","4","427","2024-06-01 01:30:27","",\N,\N,\N,"414",\N,"414","2024-06-01 04:21:02","undefined","2","2","Later MTO Documents will be uploaded","","","L083-ZX-E-70807","ISSUE FOR INFORMATION",\N,\N,"1113",\N,"2024-10-05","2025-01-03","2025-06-24",\N
"3324","409",\N,"398","54","3","182","3662","EWP-A08-WP7.2-420-BM-MT-101","A08-WP7.2-420","420","AG","DELETED","TBD","Telecom Works (SS 45)","Telecom Works (SS 45)","CWP-A08-WP7.2-420-BM-MT-101","1",\N,"2023-12-16","2024-02-09","0","0000-00-00","0000-00-00","0","0000-00-00","0000-00-00","0","",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"0000-00-00",\N,"2",\N,"1646060362","2024-09-24","2025-01-02",\N,"0000-00-00","0000-00-00",\N,"2024-11-01","2025-01-30",\N,\N,"0","0","0","1","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","409",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1114",\N,"0000-00-00","2024-11-01","2025-01-30",\N
