disciplineId,projectId,packageid,disciplineName,primeCode,sub_disc,status,addDate,disciplineCode,primeCodeDescription
"242","16","1,2,3","Foundation","112","0","1","2018-09-17",\N,\N
"243","16","1,2,3","RC Basement","113","0","1","2018-09-17",\N,\N
"244","16","1,2,3","Ground Floor","114","0","1","2018-09-17",\N,\N
"245","16","1,2,3","Typical Floor","115","0","1","2018-09-17",\N,\N
"246","16","1,2,3","Roof Floor","115","0","1","2018-09-17",\N,\N
"247","16","8","Earthwork","111","0","1","2018-09-17",\N,\N
"250","8","4","Mobilization","123","0","1","2019-05-06",\N,\N
"252","1","5","Design of the Structural Module","1234","0","0","2018-09-18",\N,\N
"253","18","1,2,3","Common Site Work","101","0","1","2018-09-18",\N,\N
"254","18","1,2,3","Site Prep and Excavation","102","0","1","2018-09-18",\N,\N
"255","18","1,2,3","Foundations","103","1","1","2018-09-18",\N,\N
"256","18","1,2,3","Civil","104","1","1","2018-09-18",\N,\N
"257","18","1,2,3","Mechanical","105","1","1","2018-09-18",\N,\N
"258","18","1,2,3","Plumbing","106","0","1","2018-09-18",\N,\N
"259","18","1,2,3","Electrical","107","0","1","2018-09-18",\N,\N
"260","18","1,2,3","Finishing","108","0","1","2018-09-18",\N,\N
"261","18","1,2,3","Architectural","109","1","1","2018-09-18",\N,\N
"262","18","1,2,3","Mobilization","110","0","1","2018-09-18",\N,\N
"263","18","1,2,3","Drawings","111","0","1","2018-09-18",\N,\N
"264","18","1,2,3","Column work","112","0","1","2018-09-18",\N,\N
"265","18","1,2,3","Slab work","113","0","1","2018-09-18",\N,\N
"266","18","5","Process","121","0","1","2018-09-18",\N,\N
"267","18","5","Piping","122","0","1","2018-09-18",\N,\N
"268","18","5","Documents","123","0","1","2018-09-18",\N,\N
"272","19","3,4","Business Analysis","1001","1","1","2018-11-15",\N,\N
"273","19","3,4","Development","2001","1","1","2018-11-15",\N,\N
"274","19","3,4","Testing","3001","0","1","2018-11-15",\N,\N
"275","19","3,4","DevOps","4001","0","1","2018-11-15",\N,\N
"276","19","3,4","Designing","5001","0","1","2018-11-19",\N,\N
"277","20","3,4","Piping","1020","0","1","2018-11-20",\N,\N
"278","20","3,4","Mobilization","1030","0","1","2018-11-20",\N,\N
"279","15","1,2,3","Civil","101","0","1","2019-01-16",\N,\N
"280","15","1,2,3","Electrical","102","0","1","2019-01-16",\N,\N
"281","15","1,2,3","Plumbing","103","0","1","2019-01-16",\N,\N
"282","46","1,2,3","000-General","0","0","1","2019-02-14",\N,\N
"283","46","1,2,3","100-Preliminaries","100","0","1","2019-02-14",\N,\N
"284","46","1,2,3","200-Site Clearance","200","0","1","2019-02-14",\N,\N
"285","46","1,2,3","300-Fencing","300","0","1","2019-02-14",\N,\N
"286","46","1,2,3","400-Road Restraint System","400","0","1","2019-02-14",\N,\N
"287","46","1,2,3","500-Drainage and Service Ducts","500","0","1","2019-02-14",\N,\N
"288","46","1,2,3","600-Earthworks","600","1","1","2019-02-14",\N,\N
"289","46","1,2,3","700-Road Pavements General","700","0","1","2019-02-14",\N,\N
"290","46","1,2,3","800-Road Pavements - Unbound, Cement and Mixtures","800","0","1","2019-02-14",\N,\N
"291","46","1,2,3","900-Road Pavements - Bituminous Bound Materials","900","0","1","2019-02-14",\N,\N
"292","46","1,2,3","1100-Kerbs, Footways and Paved Areas","1100","0","1","2019-02-14",\N,\N
"293","46","1,2,3","1200-Traffic Signs","1200","0","1","2019-02-14",\N,\N
"294","46","1,2,3","1300-Road Lighting, CCTV and Cantilever Masts","1300","0","1","2019-02-14",\N,\N
"295","46","1,2,3","1400-Electrical Work for Road Lighting and Traffic Signs","1400","0","1","2019-02-14",\N,\N
"296","46","1,2,3","1500-Motorway Communications","1500","0","1","2019-02-14",\N,\N
"297","46","1,2,3","1600-Piling and Embedded Retaining Walls","1600","0","1","2019-02-14",\N,\N
"298","46","1,2,3","1700-Structural Concrete","1700","0","1","2019-02-14",\N,\N
"299","46","1,2,3","1800-Structural Steelwork","1800","0","1","2019-02-14",\N,\N
"300","46","1,2,3","1900-Protection of Steelwork Against Corrosion","1900","0","1","2019-02-14",\N,\N
"301","46","1,2,3","2000-Waterproofing for Concrete Structures","2000","0","1","2019-02-14",\N,\N
"302","46","1,2,3","2100-Bridge Bearings","2100","0","1","2019-02-14",\N,\N
"303","46","1,2,3","2200-Not Used","2200","0","1","2019-02-14",\N,\N
"304","46","1,2,3","2300-Bridge Expansion Joints and Sealing of Gaps","2300","0","1","2019-02-14",\N,\N
"305","46","1,2,3","2400-Brickwork, Blockwork and Stonework","2400","0","1","2019-02-14",\N,\N
"306","46","1,2,3","2500-Special Structures","2500","0","1","2019-02-14",\N,\N
"307","46","1,2,3","2600-Miscellaneous","2600","0","1","2019-02-14",\N,\N
"308","46","1,2,3","3000-Landscape and Ecology","3000","0","1","2019-02-14",\N,\N
"309","46","1,2,3","5000-Maintenance Painting of Steelwork","5000","0","1","2019-02-14",\N,\N
"310","46","1,2,3","1000-Road Pavements - Concrete Materials","1000","0","1","2019-02-14",\N,\N
"312","8","1,2,3,4,5","Foundations","14","0","1","2019-07-25",\N,\N
"313","9","1,2,3,4","MOBILIZATION","24","0","1","2019-03-16",\N,\N
"314","9","1,2,3,4","COLUMNS","15","0","1","2019-03-16",\N,\N
"315","9","1,2,3,4","MECHANICAL","30","0","1","2019-03-16",\N,\N
